recipe_name,image_file_1,category
Adrienne's Delight,Adriennes Delight 1.png,Appetizer
Cheese Ball,Cheese Ball 1.png,Appetizer
Daffodil Dip,Daffodil Dip 1.png,Appetizer
Barbecued London Broil,RECIPE FECW beef_005.png,Beef
Easy Pleasing Meatloaves,RECIPE FECW beef_007.png,Beef
Italian Meat Loaves,Duped beef_003.png,Beef
Bishops Haslets Punch,Bishops Haslets Punch.png,Beverages
Caribbean Cocktail Cooler,Caribbean Cocktail Cooler.png,Beverages
Cran Raspberry Punch,Cran Raspberry Punch.png,Beverages
Apple Orange Bread,Apple Orange Bread 1.png,Bread
Apple Walnut Bread,Apple Walnut Bread 1.png,Bread
Apricot Banana Bread,Apricot Banana Bread 1.png,Bread
Apple Walnut Harvest Cake,RECIPE FECW_012.png,Cakes
Banana Split Snack Cake,RECIPE FECW_008.png,Cakes
Banana Upside Down Cake,RECIPE FECW_009.png,Cakes
Buttery Almond Crunch,Buttery Almond Crunch.png,Candy
Cadbury Eggs,Cadbury Eggs.png,Candy
Candied Nuts,Candied Nuts.png,Candy
Chili Sauce,RECIPE FECW_050.png,Canning
Chili Sauce #2,RECIPE FECW_057.png,Canning
Crisp Pickle Slices,RECIPE FECW_054.png,Canning
Apple Sausage Bake,Untitled_7.png,Casseroles
Apricot Beef Stir-fry,RECIPE FECW casseroles_064.png,Casseroles
Beef And Asparagus Skillet Dinner,RECIPE FECW casseroles_058.png,Casseroles
Apple Sauce Cookies,RECIPE FECW cookie_031.png,Cookies
Banana Oatmeal Cookies,CD5.png,Cookies
Banana Peanut Buffer Cookies,RECIPE FECW cookie_041.png,Cookies
Dressing,Duped dressings dips_003.png,Dressings_Dips
Fruit Dip,RECIPE FECW dressings dips_005.png,Dressings_Dips
Munching Onion Spread,RECIPE FECW dressings dips_006.png,Dressings_Dips
Annette's Cheesecake,RECIPE FECW Frozen Desserts_050.png,Frozen_Desserts
Apple Brown Betty,RECIPE FECW Frozen Desserts_030.png,Frozen_Desserts
Apple Crisp,RECIPE FECW Frozen Desserts_015.png,Frozen_Desserts
Beans And Franks Casserole,RECIPE FECW misc_009.png,Misc
Chocolate Mug Cake,RECIPE FECW misc_012.png,Misc
Cookie Mix In A Jar,Duped misc_001.png,Misc
Apricot Ham Steak,RECIPE FECW PORK_039.png,Pork
Asparagus Ham Rolls,RECIPE CS Pork10122023180221_001.png,Pork
Broccoli Ham Roll Ups,Duped PORK_009.png,Pork
7-Up Chicken,RECIPE FECW poultry_081.png,Poultry
Adobo Chicken,RECIPE FECW poultry_054.png,Poultry
Apricot Chicken,Duped poultry_035.png,Poultry
Avocado Salad Bowl,asb.png,Salad
Bean Salad,RECIPE FECW salad_043.png,Salad
Better Than Potato Salad,Duped mostly fruit salads_001.png,Salad
Olive Beef Sandwich,RECIPE FECW sandwich_004.png,Sandwiches
Sloppy Joes,Sloppy Joes.png,Sandwiches
Toasted Turkey Sandwiches,RECIPE FECW sandwich_003.png,Sandwiches
Avo-Tuna Bake,RECIPE FECW seafood_010.png,Seafood
Crab Dip,RECIPE FECW seafood_014.png,Seafood
Dilly Tuna And Vegetable Toss,RECIPE FECW seafood_017.png,Seafood
Spicy Potato Soup,XX Soups_039.png,Soups
Taco Soup,XX Soups_013.png,Soups
Tomato Soup,Duped Soups_002.png,Soups
"""Bingo"" Zucchini Casserole",RECIPE FECW vegetables_078.png,Vegetables
Acorn Cabbage Bake,RECIPE FECW vegetables_100.png,Vegetables
Asparagus Smoked Gouda And Ham Melt,RECIPE FECW vegetables_068.png,Vegetables
